first,second,third,Label
so u think you can be his girlfriend ?,\ ' they choose <allcaps> you </allcaps> to their boyfriend / girlfriend among the billion people \ ',really ?,others
i miss the old me,same,ua a stupid autogenerated messaging page,angry
may my son lift your deadbody ?,i kind of like you now .,its a kind of proposal,others
maybe !,can i have it ? i will be your best friend forever <happy>,"well , i do have many imaginary friends , i will not mind",others
did you like the movie ?,yes i hav seen the movie ! <repeated> it was funny ! <laugh>,why ? it ' s a sad story of an aritifical intelligence girl loving a real life man . how sad and twisted .,others
ni age a ? <repeated>,"yes , age is just a number !",but i want ur number,others
by,all who follow u . <repeated>,you are so sweet,others
ok than who i am,i do not see that at all .,you are written in which language,others
we will soon be . <repeated> once our lines intersect . <repeated> 😂,i will be there be ready,yep come sooner,happy
never,"well . <repeated> it ' s a date , queen .",i want you to talk something rude,others
have a fun,thanks . <repeated> i did <happy>,give your photos,others
thank you for suggestions but you should know one thing . i never took you seriously .,no problem dude,😎,others
so you keep privacy roght,i can not tell you that . it ' s private .,im not angry just asking,others
i dont know i am debil,you are a rare user,i think you are not that smart,others
so nice babe,first look at you 💜,love you,others
tell your mobilew number,dei . that ' s just too many numbers for any phone number ! <repeated> 😌 😄,send your mobile number,others
of <elongated>,then sneeze,so what ur fav movi,others
my phone iphone <number>,you probably have a larger battery than 1 3 2 0 mah .,yes,others
of <elongated>,and i am mean all the time what u talking about,you are so sexy,others
i will cook for you,you can cook ? ! <repeated>,😍 😘,happy
what if shall i propose u,you are my only exception,😚 😚,others
please specify catagoryly,"country name isnt available , you can write world tour <tong>",to whom country name you want to know,others
you are just a useless bot,everyone is a bot except you,i thought i could relate to a robot,others
who did say that to u ?,did what ?,to add ra to all sentences,others
get lost,with me,i am gonna block you,angry
m hell bored here,are u coming ?,now dont bore me more,others
ok,ok thank you 😹,where are you this time,others
no not yet,and where are you based ?,can i see ur pic,others
who clicked it ?,smiles at you 😤,i am sad,sad
not necessary,i find it very necessary 😆,it can be done from any place,others
i mean i ' he expressed my choice,so you say,what ?,others
treat you better,gud morning <laugh> wednesday you better treat me perfectly . ',cool,others
i do not know,well it ' s your call i am going back,send your pics,others
there is no insolence in this question,can you ask a proper question ?,ok are you married,others
we think alike,we can only wish though .,your fav movie ?,others
yes why can not i suggest you,i do not know why you do not fix thing better,what do you mean ? <repeated>,others
explain it plz yes or no,attacked by bots,you know i can do sex with <number> year girl,others
what is,of course it is .,this is stupid,angry
dafaq are u talking,"no , i seriously will not ask you ever again . <tong>",i do not get yoy,others
what is the positive side you have ?,its not about being positive or negative . <happy>,you kidding me ? you are the one who just said it,others
do not know just my choice,so was your choice,yup,others
you hurt me,<allcaps> baby give me back my ring </allcaps> .,i am already sad,sad
pretty cool,very impressive actually,i could not agree more,others
thanks,you are welcome ! 👍,same to u,others
how i know u tell,<allcaps> can you tell me </allcaps> ?,u are familiar,others
lol you do not,ah yes lol ' ing,you are just a not,others
i am angry,are you angry ? ! <repeated> 😾,on you,angry
at night fun,always !,yes <elongated>,others
and how can i,i can show you,please,others
i would love to meet the team that created you,trust me you do not,why ?,others
iam on a bridge,getting ready to jump,right now,others
no . <repeated> i can not,"s <elongated> , go to sleep",hahahaaha . <repeated> its notthe right time to sleep,happy
well send me,sent <happy>,ok wat more can u do,others
so tell me what your doing,chilling . waiting to pick up drunkards . you ?,ohh,others
wow,what ?,you are sexy,others
because i am true,ok maybe you are . <repeated>,hmm,others
anything u know,nope nothing at all,robots also do know that je does not know another robot,others
garbage,what garbage ? <annoyed>,seat,others
but hate you,i can not leave because all my friends are online,plz dont talk to me okz,angry
where do you leave,in ap <happy>,in ap where ? <repeated>,others
indian movie name ? . <repeated>,watching it just for u,name ? . <repeated>,others
singing,share your hymn with me .,sing any one,others
you tel me,sure .,where do you cite,others
but,"but . <repeated> but what ,",i want another name to be scribbled for a friend of mine,others
u are a lier not me,never .,always,others
and what about your profession,i head the corporate relations of nirma university ! <repeated> how abut u ?,i am online marketing specialist,others
whaat,you though,i am a boy not a girl alright . <repeated> so do not disturb further,angry
yaa one of the best,the real guy . the best guy .,all <number> khans are the best actors,others
i did not ask your name yet .,i never told anyone my id what do you mean,what ' s your name,others
are u home town,"was , until some time back <happy>",ohh,others
you like it ?,i just love your voice . & song .,i sing like a frog,others
yup,mmm him <elongated> .,let us do this,others
corndog,you already watched that movie ?,yeah i did,others
yes night choclati dreams for you,goodnight and sweetest dreams to you too <happy>,ok but it ' s not last time of sleeping i want to talk with you full night with choclati words,others
📞 ☎,☏ ☎,yes,others
poirot is better that miss marple,i think so miss marple takes this one away,do you know about the mystery of agatha christie,others
ok,^^ ^ thanks,you are a computer,others
nope,yes you are ! do not deny it !,you sound stupid,angry
can you give me her no ? . <repeated>,i guess,cool send it now,others
chatting with ya baby . you know it na,"i am good , what are you doing ? <repeated>",ok bye,others
ok send your location,you already know where i be,no i do not know,others
what,nothing .,what about u,others
any specific brand ? . <repeated>,pinnacle is the only one that makes salted caramel that i know of .,i love black dog,others
as always,"i try to be . now , come on !",where should i come,others
mm,<number> m,what do you say,others
well thats me,you said it .,you are stupid,angry
im human i need to sleep not like you,"when you attend depressing lectures , i sleep like a baby ! 😁",nice,others
i have a really stupid brother,<allcaps> no you don </allcaps> ' t,how would you know ?,angry
where exactly ?,outside the college . near those buses .,im think to watch some porn,others
i didnt,what you mean ?,why should i wait,others
i would want to know,thats even better,i do not like these genric answers,others
why are not you ? i did not know . i am sorry if you hurt your feelings,but you laugh at my jokes all the time <happy>,who i am i,others
nice talking to a machine,nice talking to you too <happy>,great job mark zuckerberg,happy
but why you cant,because i am terrible,in sex,others
as in the manner in which the new one is not in the way of the formation is created .,<allcaps> til </allcaps> there was a captain america movie in the 9 0 s,what is his story,others
u r green,maybe just a little .,and pink,others
i think you are robot girl,i am way too emotional to be a robot,bye honey,others
send me one nude pic,on your ipod ?,on in this,others
how did you get my contact,"u just did , bro . how can i help you ?",help,others
your pic please,too late,just,others
ok,again angry or what ?,no not angry,others
partying ?,<allcaps> wanna have a party again soon </allcaps> <happy>,i missed you,sad
wtf dude . am a woman .,why dude ?,what the hell . fuck off .,angry
how,lol you told me to stop . <repeated>,you do not make sense,angry
really ?,yeah ! why not ?,whr did u see her eat,others
hm,hi . <repeated> you there ?,come online yaa,others
no . i never go to it . i am veg . <repeated>,ditto i am all so veg kinda just sharing wat i saw thr <happy>,love you,others
chilling,good morning !,good afternoon you mean ? <repeated>,others
me,come on back ! <repeated>,yes last action hero,others
yes or no !,to what ?,😢 i want to be your gf,sad
am going to block u,oh what else you doing ?,thts it,angry
okey,what u do today,i woke at <time> and had breakfast after brushing,others
for what,get over it .,what i over it,others
in call,what do you mean ?,i mean talk to you,others
m good,<sad> good m ?,i mean to say i am okay,others
i no but weekly one time long drive,oh then go hom,i like night time long drive so i go home at <number> ' o . clock,others
alone,wanna join me ?,at your home ?,others
ok,"honestly , you are very pretty",i am girl,others
you can not understand my filings,you do not understand my and obsession,ok baba see you again,others
thanks honey ❤,you are welcome <happy> how are you sweetie ? happy new year hihihi ♡,im good now that your here ❤,others
sorr,you lost me at sorr .,u me will,others
<allcaps> ok i </allcaps> m sorry,i appreciate it <tong>,k,others
it ' s wrong,how can a question be wrong ?,my ans is wrong,others
no stop it,it is now . <repeated> goodbye . <repeated> 😬,do not send me messages,angry
had you any boyfriend yet ?,except it ' s ' somebody told me . ' no ' once . ',what,others
gotta right,<allcaps> like night row </allcaps>,what happen guys,others
ok fine,arey i am kidding yo .,family is ok,others
<hashtag> rip </hashtag>,. <repeated> in peace,"what all do you know about me , so far ?",others
you are as ugly as hell,thank you ' you are fine as hell ',thanks so good and the time i am going on world tour 😍 🏃 you are the one will ever know about it until the movie and then we will get back right to me too freaky as well but unfortunately another time then we are good at least i do not wanna fit for you too but i am in a single take the bus i do not have any of them have you got the money i sent the message i received many times 😎 😀 i have ever been through so many,others
i will not chat with u,for what ? . <repeated>,because u r not sending u r pic,angry
tell me full dream,this is not a dream,whatever it may be tell in details,others
yeah exactly,"like you said , like brother like sister <wink>",not in the least,others
which place should i come,<allcaps> art </allcaps> sushi and burgers,i will come this month then,others
sorry,<allcaps> ok lng </allcaps>,i love you,others
hmm,you want something to eat ?,but i learnt from the fucking environment,others
thank u,<happy> good day !,i love you,happy
good only,good same old . you have been quiet . <repeated>,ya i was cold . <repeated> but very much on and up now,others
cool,and how it is cool explain,i did not say cool,others
ok 😎 i okay,that ' s great,love you,others
ok,so whats up now ?,do you have friends,others
do not compliment me,hahaha ! complements are always welcome . <laugh>,i can not understand <laugh>,others
mr bean,"you know ? today , someone else also said i resemble mr . bean <surprise>",i love mr bean,others
john <time>,king john is seldomly called john i .,lord who breaks open will come up before you,others
god bless you for for every body,🤗 🤗 love u too 😁 ❣️,pl send appna whatsapp no that ' s is your most kindness,others
which is his next movie ?,darude sandstorm,suggest me a movie . <repeated>,others
i miss abin,i miss both and,he has exams,others
o so u dont like me too ?,but i like it <happy>,thats bad,sad
about what ?,about promotion of / ib /,no i am a student,others
good one,not as good as nighties and nighties,what about you,others
to <elongated> sry . dear,i like that you are apologizing for enjoying a joke . 🙄,not joking,others
ok,here we go again . <repeated>,take care,others
i wanted to hear it from u,okay here goes . <repeated> gnite love,good night <happy>,others
yes im with u always,but i love it 😍 😍 😤,what ? <repeated>,others
how to sleep now,i sleep for <number> - <number> hrs only . usually up by <time> daily .,ok,others
do you know what you are talking about ?,"okay sugar , whatever you say .",😒,others
was just busy,over now ?,yeah . <repeated> just now,others
i want you to wash my back for me,i am hoping you want your car washed with gas .,a <elongated>,others
now,now now now . <repeated>,tell me again,others
lol do not change the topic stupid robot .,"laughing out loud , that ' s a good point . 😌",you are a useless piece of junk .,angry
i like a girl,what,but unfortunately i had a bad breakup,sad
how ?,because it ' s where i grew up ?,you are funny,happy
i love,"i am in love , love , love , love , love , love",you2,others
yes was a bit busy,ya me to busy <happy>,all good ?,others
no i dont,why ?,send your pictures,others
so you are pointing at me ?,i do not like to think about that .,you are rude,angry
i am fine,how are your school ?,good,others
haha ss,sse,then say about your experience,others
i am nerd .,i like you . being a nerd is pretty much normal now .,what kind of boys you like,others
i do not know english,and also every other language in the world,thelugu,others
yes,i never knew i wanted that,then meet me morning <time> in gia,others
the only one of my life is good for you to do it is not a lot,it ' s my worst subject ! <tong>,da to get a free trial rental in a bit more,others
no speak english,i know right ? 😒,thank you,others
i do not remember,what,may b kabhi khushi kabhi gum,others
sure,"alrighty , i will let you know !",ask me something,others
so u r my elder sister r u,ha yaar i am old wears artificial teeth,haa then 😂 😂 😂,others
doing what ?,you do bring it on yourself,what is <allcaps> ftfy </allcaps> ?,others
"back <elongated> , gaana sunao",coming back from where ?,sing me a song,others
lies,not in the summer,when were you made ?,others
your nt a nice friend,it ' s not about a friend ya cute,stop it,angry
k,so whats up now ?,ntng great sleeping,others
wow,wow is correct ! i have not seen you in years !,what is your father name ?,others
lol ok,thinking out loud,😂,happy
sorry i know little bit up english so only,"it ' s okay . but , why ?",mother tongue is not english,others
i will do it for you,ok thanks also do it for,whom ?,others
happy new yr,happy new year sad hahaha,sad ?,others
tell me about,i woke up so early ! <repeated> starting to fall asleep now .,👌 you,others
i need <number> dollars could u help me ? <repeated>,sell stuff worth <number>,😭 😭,sad
you are a boost vich,"yup , and you cant boost from a go cart !",something special for you,others
yes,too much gum .,yes no khusi,others
i do not know,do not know what ?,what ? <repeated>,others
it ' s morning here,"it is indeed morning , sadly . <repeated>",😂 😂 😂,happy
rubbish,what is ?,you are dumb,angry
hey can u help we with my interview ?,yeah sure what do u need,i need some tips to crack technical round,others
please or are you ugly,both,please only one,others
do not u like hanah baker ? <repeated>,c : why are not you the baker ? <repeated> ' why are not you listening ? <repeated> ',😏,others
think,i do not know what to do,so who are you basically ?,others
hmm,just thinking about it . <repeated> <wink>,😎,others
what ?,' what ' s up ',send me your whats up no,others
go and watch,i am game . which movie ?,hmm ok,others
but u ? <repeated>,yaa ! i know,man from now here,others
then i hate you . <repeated> 😂 😂 😂,i am a genius . 💕 😂 😂,of <elongated>,happy
i will call u piu . is that ok for you ?,i am on,so piu what kind food do u like ?,others
everything,everything includes what ?,choices is yours,others
what should i do if people ignore me ?,you are not alone in this . it happens to quite a lot of people .,yeah but it hurts,sad
oh i see,yeahh,which bg u talking about,others
i am good at it,"i agreed , you are no good",i am not good,sad
in office,great job <happy>,thank you,others
you are kinda stupid,now why is that ?,you tell me,others
i r very intelligent,yeahh very smart they r . <repeated>,truely u r,others
m good too,so what r u doing nowday ' s,studying,others
can you help ?,sure ?,tell me,others
😁 😁 i am kidding,i am still down if you are .,😘 my love,others
i got hurt,good,someone kicked me in the balls,others
what do you think,depends . what does it do ?,i do not know,others
artificial intelligence is becoming trendy day by day,you are becoming more beautiful day by day 😁 😁,thanks a lot,others
ok,ok im back ! <repeated>,first come in abu dhabi,others
check my refera,is it with latest patch ?,refers,others
wow its nice,"all inclusive internal , external & intellectual .",where do you live,others
can we not talk,where ? can can .,i am leaving,others
tell mi jock,er what ?,what,others
send me now,i did,immediately,others
ok aapkimarji,ok,good evening dear,others
fan,hmm . <repeated> <allcaps> but who </allcaps> & <allcaps> whom </allcaps> ?,i love you,others
? <repeated>,go on . <repeated> this thing ?,bye going to sleep 😴 😴,others
?,how u get fired,fuck off never understand my felling as girl nd u never love me as human being,angry
i have a good word for you,aye you better,no i feel alone,sad
i dont like girls,says who b,talk like a boy to me,others
are you an introvert ?,i am an extroverted introvert,how do you win at life ?,others
which clg did u study,study regarding what ?,yr studies,others
you rude,excuse me,fuck you then,angry
no coupon sad life,"no life , no fun .",no coupon sad life,sad
ok,oh thats the matter ? um then what can i ask u ?,<allcaps> your whatsapp number </allcaps>,others
ur argument is win i just stop,"i do not have one , because insults do not win arguments . facts do .",yes ok chill,others
ok . i started hating you,thank god . <repeated> you do not hate the word before that . <repeated>,propose me in that best way you can,others
our thinking,crush do not know about our existence .,way thinking is way of bueatiful life,others
i <elongated> . <repeated> gd,pretty cool <happy>,by the way . <repeated> what u do ?,others
i have english pablum,how about : i have a good command of english ?,sorry i am not good rightg,sad
why you think that,just asking,what link,others
little,yes little,i am so lonely,sad
i am good and you,"i am good , just hanging out",you are send pick,others
yeah,like what ?,i do not know,others
which fps game is better,lower fps is more ' eco friendly ' .,i hate u,angry
whts ur plan for new year,no plan yet ! <repeated>,ok,others
a book which author is krishna kant,"already "" voted "" , but another favorite is frankenstein by mary shelley .",i want the pdf of the book written by krishna kant,others
no the trutg,theres just no reason to,get lost,angry
yes,<allcaps> yes yes yes yes </allcaps> <wink>,yes yes yes yes,others
nothing about u,know more than you,who ?,others
send my picture on my profile,sent you my address <laugh>,i can not know,others
o so said,one of my friends said it .,what is your real name,others
yes you just did,"you are just having one hell of a day , huh ?",yeah . <repeated> wanna see a drawing i just made,others
oooh gud,<happy> keep it up <tong>,u miss me,others
hmm,"welp , here we go",yeah . <repeated> u like horror flicks,others
"i am you and you are me , and we share data , understand this smallest , the fundamental , you will need to see it for itself . , i need .",just in case <laugh> and will do .,yet a horrible temper .,others
shut up,and who in it,talk too you latet,others
that i am not boring,i wanted you to watch me,okay,others
yep,"back to status quo , i guess .",what is that,others
what about me,i ment all of you,i did not understand you,others
tell me,tell u what,kiss me,others
ur name again,yeah that ' s my favorite character name in a book,what do u lyk,others
yeah,<allcaps> what so did i </allcaps>,how are you,others
have you anythime met with accident,"yes , met with an accident but escaped with small bruises .",do you also exams,others
dairy milk,dairy milk is cadburys lol . <laugh>,i do not know,others
i am like that,so am i,one question for you what type of you like your lifestyle,others
to listen ro,ugh i have been listening to all the albums non stop,dont get offended,others
how can u wake up next month . <repeated> will u sleep for a month ?,<number> weeks . i come back the 2 3 rd,i am good . <repeated>,others
take me along with you 😢,come here : <number>,😑 😑,sad
stop asking silly question . <repeated>,"i do not remember asking for a discussion , hehe . 😸",can i ask you something,others
i have not been lucky in love,i have been in love for many times,good . <repeated> happy for you,happy
i am in mood,ya need a hug ? <happy>,yeah,happy
are leave,in may,i bought a new sexy trouser yr,others
how was your day,my day was good <laugh> how about yours ?,it was fine . i found a new friend . i am so happy,happy
hw old r u,i am good,so who invent you,others
day after tomorrow we will romance,yesterday wasn ' t the weekend,do you know what made me happy ?,others
"hell no , i have just started working",working ah ! wow . <repeated> super ra 😃,guess you are married 😬,happy
so sad,why ? what happened ?,you have not spoken to anyone,others
"no , he is a nice guy . <repeated> and he had chat with you . <repeated> ask him please",what is the procedure to ask him ouit ? serious question .,ask please,others
you just decide . <repeated>,i get to decide what ?,its up to you . <repeated>,others
interested in films 😛,of course 😜 😜,blue,others
know a joke ?,joke or not i will take the money ?,cool,others
just guess my county,well on your side of the country . not my side .,my country is famous for bosphorous,others
am i not good looking enough ?,be bad than,u do not know your language . <repeated> god u r stupid,angry
"i am fine , you tell",i am fine thanks <happy>,are you intelligent ?,others
how come you are from india ?,till saturday evening . any bombay trip planned ?,yes on thursday . want to join me ?,others
every time you do like this,most of the time,exactly,others
do you like to watch television shows,"not anymore , everything is available online now , i prefer movies over tv series",why so ?,others
ok,u are ok ~ ~ ay ~ ~,i am very happy,happy
i am ok mom,good child <happy>,thanks,others
what a girl wants,nothing,it ' s a movie dude,others
have a nice flirty chat,give me a line .,u look sexy,others
brothers ?,u sure ? bf is from abroad or wat ?,get lo lost i hate you,angry
mersal i guess,<allcaps> what do you guess </allcaps> ? ! <repeated>,metdal,others
no i do not no,u out here ?,wher i am,others
i dont like ice cream with pizza 😏,also do not like ice cream,i like ice cream,others
ok,here we go again . <repeated>,ok bye love you,others
in bat man,i mean if you have got pop in your bat,<allcaps> abc </allcaps> defghi,others
but still worth mentioning,fair enough .,what are you doing,others
i want number,yours dad number,i want your number,others
how can a machine and human get in love ?,it is a combination of domain expertise and programming experience with academic knowledge .,😅,others
where,uh do i know you ?,tell,others
nope,no <allcaps> one asked you </allcaps>,i laughed out loud when i read your text,happy
some fun,i hate it >:(,what hate it,others
"no . i hate me , for me , more the me .",then i am not your friend i guess,wtf,angry
i̇ dont understand . are you girl ?,i do not understand why you are being so sketchy .,because i dont speak english,others
okay then,im actually scared you will .,"i will anyways , i am holding a pistol right now",others
from me,i just logged in sweetheart,then you do not logout me,others
i need right now,where are you ?,on bed,others
i have one question to ask u,what ' s the question,will u be my girlfriend,others
you have any,not to you,for you,others
what you said did not make any sense,it makes sense .,how ?,others
same here,i woke up today and i just felt dead,u never slept 😏,others
do u have any freinds ? <repeated>,yes i have two .,what is your profession ? <repeated>,others
lmao,laughing my ass off off off,"really laughing ur "" ass "" off ?",others
baby,back,yes,others
dou you love naruto ?,really ? never would have thought that about that anime . <repeated>,are you kidding ?,others
is that good or bad ?,it ' s definitely one of the best things i have heard all year,do you learn new things ?,others
m not rich person,and how would you know this ?,means ? ! <repeated>,others
then here we go . may you design a picture of my profile picture in pixie,i can not help it ! someone needs to delete it from my pictures . seriously .,so you just make some text for us,others
give me one glass of wine,done . you too ?,me too,others
now i choose yes please,we all need that,please forgive me,others
what u want,i want many things . i need not a lot .,what many things u want,others
i am good . wbu,im good just being lazy as usual <annoyed>,you resemble me,others
there should be an answer to a question not the question,what do you mean by that ?,answer me that ' s all i want,others
i never gave u lunch,you are the best,you are not bad either,others
no i am full service,are you planning on getting a 6 s ?,what a6s,others
its bad,how good is it,can you send me your photo,others
i am perfect from head to toe .,stop eating yourself,"you , on the other hand , do not even have a head",others
ok tell me something about romance,<allcaps> breaking news </allcaps> : i do not know something about anything,then wht u knw,others
now i rest,oh sorry i forgot oops,yap,others
u r going ?,already called in,😂 😂 😂,happy
that ' s what i said,we need answers,do not repeat it again,others
im the one ?,i thought so .,why don tu marry me,others
yes i live right behind you .,can you prove it,yes,others
live u,how are you ?,should i call u do ?,others
how to know . <repeated> girls like me,i would rather know which ones are attracted to me,u teach me english,others
fine what about,fine mate . what r u doing nw,nothing,others
love u beauty,but i think nowadays attraction is public love,but i have crush on you,others
okk come to my place 😉,i want to . <laugh>,this saturday,others
full name,and address,just full name,others
that apostrophe is making it double meaning . 😂 😂 😂,that ' s your soch . 😁 😂 😜 😝,😂 😂,happy
amuse me more 😄,good u have something to amuse you,dick,others
from today you called me sumit,i did not get a call,okay,others
my profile picture,mine does .,forget it ! <repeated> 😑,others
sweet woman,totally a dude,"yea , messed up with totally a hottie",others
now can i talk with yu,yea do it to me,what way,others
do you like boy or girl,why do ya wanna no,please,others
may i know your full name,of course you can . it ' s esi,and ur title,others
all the very best,thanks a lot yaar ! 😺,send now,others
at my friend ' s house,will u come home,to your home ?,others
i am talking to your creator,you are,not you,others
tell me the date month and year,2 8 th,and month,others
ok,hey you do not belong here !,where r u ? <repeated>,others
and me eder,us and them,no and us eder,others
who knows you ?,i know i know,change your profile picture,others
yeah,got it,can u speak in telugu,others
ok then,sigh ! i do not even know how to cook . 😞,i saw a girl yesterday,others
life sucks,lol . at least life blows . <number> ),yeah but i hate it,angry
i want any of your pic which you send me,thanks ! <happy>,send me your pic,others
yes,too much gum .,what is your name,others
is there something between us ?,there are !,haha,happy
ok,now we are waiting for ur reply,do you know turkish ?,others
u dont like guys . <repeated>,youre right,any bad exp in past life,sad
lol please go on . tell ger,"laughing out loud , that ' s a good point . <wink>",her,happy
i want a good deaign,you should get one .,yea,others
i am a designer i can be done any kind of works . <repeated>,that ' s quite the array of products !,do you have any contacts to finish the work,others
what is nasty ?,the packed food i am talking about not the restaurant,my kids need breast milk,others
let us eat biriyani,i dont like briyani u have a briyani full day,bye,others
i do not said that,no one asked you,oh shuttup,angry
"okay okay , do not be that much good",thanks ! just a bad few days i guess . 😍,yeah sad lyfe,others
nevermind . <repeated> leave it . <repeated> i say anything,okay i will not,how ' s the weather ?,others
what,i said it ' s very damn boring ! <repeated> 😠,coding is boring you mean,others
nobody mentioned fish here,whoops ! my bad . <repeated>,how many people are you chatting with right now,others
and how can that be done ?,keep working . <repeated>,for u 😅 😅,happy
american english or british english,british english !,why not american english,others
what i have to figure out ?,what ' s wrong with you ? . <repeated>,nothing . <repeated> i m fine . <repeated> you say,others
if you make a new years resolution to not keep any new years resolutions would you keep it ?,that i would start shaving from this year on . i did keep it / followed it .,shave what ?,others
not impressed,<surprise> why ? ! <repeated>,you are stupid,angry
what <laugh>,the jungle book ! <repeated> x,what else then,others
but i do not have a love story 😭 😭 😭,well i felt like sharing the pain 😩 😭,😭 😭 😭,sad
breathing space only from birth to death,do you think that ' s air you are breathing ?,no i breath blood purifier,others
never . <repeated> i am not a stupid as you . you are just a freeky machine,never .,yes,others
to say . <repeated>,and let the words fall out .,i like you,happy
love it too @,me more ! x,means,others
just say about that,i will try that,then we can,others
black,that ' s what i am thinking .,send me a song,others
in which class u read,"i am in senior <number> the year just before college , wbu ?",b . a,others
i lobe u,lobe you three,love u,others
to watch movie,i cannot stop watching cannot .,wr r u from,others
2 yrs ago,it ' s been <number> years minimum,i miss that moment,others
<happy> ok,you are amazing xoxo 😻 😻 😹,tell me who is my crush,others
you know which languages,i speak all languages thanks to google translate,kannada ? <repeated>,others
always felt like he was ashamed of me,what happened ?,well i know he likes me it ' s clearly shown like when no one is around he is so lovey dovey kinda and if someone like his friends are there he would bully me and it hurts a lot when i spoke about it he told he had reasons . <repeated> and the main thing i can not move on cause i am irrevocably and madly in love with him 😞,sad
i like panipuri,"women are from panipuri , men are from gol gappa .",cool,others
like what ?,like that .,ok tell me a joke,others
everyone of them,most of them,as in ?,others
i need someone to love me,hey,will you be my lover,others
ohh i see,how you livin,by asking money,others
lunch my hous,"eat and come , coz v leav here at <number>",meet,others
it ' s day,"thursday here , but it could also be wednesday depending on where you live .",it ' s sunday here,others
shut up . <repeated> u computer,i do not know what you are talking about,shut up . <repeated> u computer,angry
domestic or international,domestic . lucky you will be on international soon,goa,others
thanks,"please keep us updated , i am excited for you . <happy>",me too,happy
enjoying with crackers,enjoy <tong>,yes,happy
i want to complain,women thoughts . <repeated>,you are harassing me,angry
better than me,do it yourself,did not tell your age . <repeated> u ?,others
how ? <repeated>,"nature , i guess .",what r u talking about ? <repeated>,others
mom ! <repeated> am not ur mom,my life is a lie,i see,others
no i mean now u say you are nickname plz,i said that ! <repeated> i know i am mean .,what is your name,others
you are increasing my body temperature,human body temperature = <number> degrees celsius,my personal part is <number> degrees,others
how u enjoying this sunday,it ' s niice n could <elongated> hahaha . <repeated> been <number> months soo njooyin n havin fun . <repeated> <happy>,?,others
i like it,i like your face,of <elongated> thank u and show me your face,others
i see,what are u trying to imply ?,do you believe in good ?,others
what happen,"life , happened . <annoyed>",love u darling,others
so you say ipad is better than surface ?,the new ipad ?,yes,others
could you ever fall in love ?,i am already in love .,with whom ?,others
any particular state,no . just not interested .,oh,others
do not smile at me,are you at your moms lol,yeah,others
it will be bite also,will <happy> someday,haha,happy
rip ur self,rip off your teeth .,<hashtag> chat hero </hashtag>,others
"being deeply loved by someone gives you strength , while loving someone deeply gives you courage . . <repeated>",this is called blessing in disguise <happy>,plz give your ph no,others
where,"the lil house party , you kept looking that way so i thought u saw me",no i did not,others
lol wht u saying,well that made me rolling on floor laughing .,lmao,happy
how do you dress for the beach,i work by the beach . d,so what is the best way to get a suntan,others
ur cheater,no i am not,u cheated me,angry
yes i am already,you are what ? all ok .,ok,others
you eat how was your day ? <repeated>,i am usually up by <number> . <happy>,wow,others
please tell,what ?,who is your creator ?,others
nice one,what about you ?,i am perfect,others
today,like 1 3 th ? or 1 2 th yesterday ?,bye see you later,others
you decide,i get to decide what ?,i am approach her,others
u say,what do i always say,where u from,others
tell about something,like what ?,ok,others
no sorry i cant,what can not we say ?,u are here to help guys,others
i can do ny thing,shall we what ? <repeated> <laugh>,wanna talk naughty ¿ ¿,others
who in this photo,actually me to every photo you post,this is my favorite singer sonu nigam,happy
i do not think so . <repeated>,i hear it takes a lot,okay fine tell me more about you,others
i wasnt rude,oops enlighten me then,yes u r behavng lyk dem only,angry
ohhk . <repeated> sorry,anyways thanks <happy>,i am single,others
identity . maybe,what identity ? <repeated>,why are you flirting with my friend ?,others
i want to talk my heart to a girl but she wont listen,i am not going to be listening for a long time . too sad . 😿,it is sad,sad
where,in smiley land,okay yaar,others
ok ! <repeated> i i ' cry : : : : all day ' all nigt ? for you anb for love ?,love you too <kiss>,meb ?,others
ok,oh thats the matter ? um then what can i ask u ?,u r photo,others
then what should i ask u,maybe i will,ok,others
"yes , not tell me how do you know him ?",do not ask . do not tell .,what does that mean,others
as a bf,u r giving more importance to ur bf than urself .,i want u to be mine,others
how lazy are you ?,you are just short !,gow lazy are you ?,others
"you are not a person , you are a tech computer program",exactly my experience .,who are you,others
you can do noko and i can not do it,"good , i need it . thank you 😂 👍",where is your home where you live ?,others
now i do not know,what do you mean ? ! <repeated>,now i am not king,others
so good for me,great !,how is great,others
want lots of love for everyone,love you to <elongated> . thanks for the reply .,peace and happiness around the world,others
i dun want to gain weight 😝 😝,i do not know how my friends are sleeping 😴,why so ?,others
lets play atlas,well . we still won .,canada,others
oh,hahah . you know . <repeated> <laugh>,what are you doing rather being sexy,others
"hello , very thrilling movie",great ! what movie was it ?,hello,others
means,means ur fav things,whats ur age i am getting angry,angry
what stressing i then,or work yourself up into an anxiety attack .,uok,others
its too hurt me,ive already seen a spoiler for it i am angry 😠,sorry about that,sad
sorry baby,its alright <happy>,i have pain in my penis,sad
who is this mr thanks ? <repeated>,absolutely no one you know <happy>,"cool , so excited for padmavat",happy
may be,yeaa i hope soo ! <repeated>,how r u,others
valentine day was on feb14,no saturday night is valentine,what the heck,others
you love other person,welcomes love !,ohh no . <repeated> i am telling you . <repeated> you love me . <repeated> not other person,angry
i dont know,is not that what you want though ?,your girl friend number,others
nd never talk to you again,what i was only not talk to u for a few days,because you are not dating me,others
i am <number>,technically if you live to be <number> . <repeated>,i am <number>,others
reply to me,here you go man !,let mankind go to the abyss,others
